product_id,category,supplier_id,unit_cost,holding_rate_annual,order_cost,lead_time_mean_days,lead_time_std_days,service_level_target,avg_monthly_demand,std_monthly_demand,total_demand,max_monthly_demand,min_monthly_demand,demand_cv,on_time_delivery_rate,lead_time_variability,avg_daily_demand,std_daily_demand,eoq,z_score,safety_stock,reorder_point,current_stock,stock_status,overstock_qty,annual_holding_cost,excess_holding_cost,annual_spend,cumulative_spend_pct,abc_class,xyz_class,abc_xyz
SKU-0389,MRO,SUP_001,1162.13,0.2737388066497119,69.68,28.2,6.409150947848231,0.95,541.7916666666666,97.83214514252666,13003,706,427,0.18057152068143043,0.8419002694087007,7.907587662689092,18.05972222222222,17.861624247893772,54.0,1.6448536269514722,162.0,671.0,715.0,Optimal,661.0,227455.85675085825,210277.37246477944,7660526.919930556,0.18303603969954368,A,X,AX
SKU-0466,Components,SUP_001,1124.74,0.25848969771114677,392.86,16.9,2.4053293371661306,0.9,270.1666666666667,38.2698276733111,6484,339,212,0.14165266257857284,0.8419002694087007,7.907587662689092,9.005555555555556,6.987082629502646,94.0,1.2815515655446004,40.0,192.0,290.0,Overstock,196.0,84312.77375505421,56983.8057103125,3697051.622777778,0.27137117573795994,A,X,AX
SKU-0197,MRO,SUP_002,529.36,0.26059254001176213,435.08,13.0,1.7172027971051886,0.9,163.33333333333334,23.449606776468862,3920,206,111,0.1435690210804216,0.8140031365415316,1.1432298333284872,5.444444444444445,4.281292865366,112.0,1.2815515655446004,20.0,91.0,235.0,Overstock,123.0,32417.607740447205,16967.513838617047,1051955.9555555556,0.29650598096164343,A,X,AX
SKU-0067,Raw Materials,SUP_013,238.81,0.2056562783701364,101.65,29.5,5.331245913933388,0.95,239.08333333333334,32.586896094925166,5738,303,180,0.1362993214148142,0.8598776585888657,1.2301000859610869,7.969444444444445,5.949526023422507,110.0,1.6448536269514722,53.0,288.0,889.0,Overstock,779.0,43661.25771960175,38258.8523774688,694661.805138889,0.31310381386166947,A,X,AX
SKU-0343,Raw Materials,SUP_017,643.38,0.2181939639652896,234.96,19.3,4.913044952900702,0.95,87.54166666666667,14.569113149777326,2101,120,62,0.16642490033063104,0.6134590463911125,7.693623307693682,2.9180555555555556,2.6599439716593944,60.0,1.6448536269514722,20.0,76.0,227.0,Overstock,167.0,31866.63058566928,23443.73263351,685257.7829166667,0.3294769526900222,A,X,AX
SKU-0488,Components,SUP_011,234.48,0.23718722712271867,329.3,39.3,5.339738240873434,0.9,228.16666666666666,29.61002572083323,5476,294,171,0.12977367006939328,0.6111030907304672,3.412069847795618,7.605555555555555,5.406026338536176,181.0,1.2815515655446004,44.0,343.0,904.0,Overstock,723.0,50276.55755822451,40210.12291437646,650922.9933333333,0.3450297166309896,A,X,AX
SKU-0099,Raw Materials,SUP_006,231.51,0.18957145555201615,441.76,30.6,8.360505277703552,0.95,224.08333333333334,36.48456095947705,5378,278,167,0.16281693250789311,0.8762579648400775,7.498307156614985,7.469444444444445,6.661139012725969,234.0,1.6448536269514722,63.0,292.0,93.0,Critical Understock,0.0,4081.554953760795,0.0,631176.6454166668,0.3601106731677179,A,X,AX
SKU-0131,Components,SUP_002,354.26,0.26003565078223617,457.76,16.0,1.6289733170571872,0.9,131.66666666666666,18.395809226599663,3160,166,100,0.13971500678430124,0.8140031365415316,1.1432298333284872,4.388888888888888,3.3585998923234333,126.0,1.2815515655446004,17.0,87.0,195.0,Overstock,69.0,17963.44478099242,6356.2958455819335,567504.8388888888,0.3736702937142235,A,X,AX
SKU-0087,MRO,SUP_017,439.79,0.20748060355481363,256.66,7.9,1.7753650696986203,0.95,105.04166666666667,19.41196217187533,2521,145,75,0.18480249588457276,0.6134590463911125,7.693623307693682,3.501388888888889,3.5441231889910316,85.0,1.6448536269514722,18.0,46.0,109.0,Overstock,24.0,9946.020515473492,2189.949471296916,562054.6740972223,0.387099691289176,A,X,AX
SKU-0292,Raw Materials,SUP_015,121.04,0.21758882851457695,156.85,25.0,5.642132283072935,0.9,354.5416666666667,49.90859398563727,8509,416,260,0.1407693331361258,0.8736899660524917,5.95343633063465,11.818055555555556,9.112020913100066,227.0,1.2815515655446004,61.0,356.0,285.0,Low Stock,58.0,7506.031263970253,1527.543204597455,522116.9672222223,0.3995748412284909,A,X,AX
SKU-0404,Finished Goods,SUP_019,365.8,0.2488885302050091,420.09,18.3,3.1781508024873255,0.95,105.125,18.822540834814543,2523,135,73,0.1790491399268922,0.6202328712213413,1.0680980170352514,3.504166666666667,3.4365100682633485,109.0,1.6448536269514722,24.0,88.0,195.0,Overstock,86.0,17753.467748053507,7829.734494013341,467865.8208333334,0.4107537467856672,A,X,AX
SKU-0079,Components,SUP_003,147.83,0.20120448399082266,351.06,43.2,12.68816254588707,0.95,252.0,44.0404951992062,6048,340,187,0.17476386983811984,0.7368533854673663,6.417050023017703,8.4,8.040657554767737,269.0,1.6448536269514722,88.0,451.0,481.0,Optimal,212.0,14306.892315682757,6305.7404800930235,453246.78,0.42158335374154515,A,X,AX
SKU-0217,Components,SUP_005,560.51,0.19463739921622492,302.2,23.6,3.902224798381793,0.9,64.83333333333333,13.582810961770337,1556,91,38,0.2095035109784628,0.8365810040895567,5.360948873210735,2.161111111111111,2.4798706526966847,66.0,1.2815515655446004,16.0,67.0,113.0,Overstock,47.0,12327.871575719542,5127.521805830253,442133.40194444446,0.4321474243017895,A,X,AX
SKU-0414,Packaging,SUP_006,84.13,0.1899178099587216,218.55,18.3,3.0122800854599836,0.95,431.25,68.84528969394695,10350,551,341,0.1596412514642248,0.8762579648400775,7.498307156614985,14.375,12.569372714450893,379.0,1.6448536269514722,94.0,357.0,522.0,Optimal,143.0,8340.403953653824,2284.8233053112963,441419.59375,0.44269443955678106,A,X,AX
SKU-0275,Packaging,SUP_005,141.28,0.20152018720172377,459.33,32.0,3.9385257099450715,0.99,241.16666666666666,41.848242045739994,5788,314,172,0.17352415499270213,0.8365810040895567,5.360948873210735,8.038888888888888,7.640408720129312,308.0,2.3263478740408408,102.0,359.0,1050.0,Overstock,742.0,29894.31065025251,21125.312859511774,414542.991111111,0.45259928137396366,A,X,AX
SKU-0145,Components,SUP_016,88.24,0.18601423426007851,277.34,40.7,6.085136530078276,0.9,379.9583333333333,51.722906511245235,9119,487,322,0.13612783816974292,0.7440127474539893,4.395342673046349,12.665277777777778,9.443267545313283,395.0,1.2815515655446004,78.0,593.0,1589.0,Overstock,1194.0,26081.680793432723,19598.191861144536,407918.2005555555,0.46234583441547816,A,X,AX
